# name,mass,radius,orbital_period,temp_calculated,star_name,star_distance,star_metallicity,star_mass,star_radius,star_age,star_teff,log_g
Kepler-1057 b,,0.3,14.08827448,,Kepler-1057,1462,0.01,1.07,1.1,3.09,5987,
Kepler-1058 b,,0.243,110.96546,,Kepler-1058,525,-0.06,0.73,0.69,3.39,4644,
Kepler-1059 b,,0.154,3.76419105,,Kepler-1059,673,-0.15,0.75,0.72,5.37,4906,
Kepler-106 b,0.01668,0.073,6.16486,,Kepler-106,449.98,-0.12,1,1.04,4.83,5858,
Kepler-106 c,0.033,0.223,13.5708,,Kepler-106,449.98,-0.12,1,1.04,4.83,5858,
Kepler-106 d,0.02549,0.085,23.9802,,Kepler-106,449.98,-0.12,1,1.04,4.83,5858,
Kepler-106 e,0.035,0.228,43.8445,,Kepler-106,449.98,-0.12,1,1.04,4.83,5858,
Kepler-1060 b,,0.212,46.8779367,,Kepler-1060,861,-0.03,0.99,0.99,4.27,5797,
Kepler-1061 b,,0.177,2.75798267,,Kepler-1061,585,-0.03,1.09,1.07,2.14,6067,
Kepler-1062 b,,0.157,9.30412078,,Kepler-1062,388,0.11,0.75,0.7,2.45,4597,
Kepler-1063 b,,0.133,14.07971466,,Kepler-1063,365,0.09,1.09,1.14,3.39,5945,
Kepler-1064 b,,0.138,16.54080322,,Kepler-1064,374,0,0.85,0.79,3.89,5153,
Kepler-1065 b,,0.333,3.60930891,,Kepler-1065,1078,-0.01,0.94,0.93,4.47,5635,
Kepler-1065 c,,0.143,2.37030743,,Kepler-1065,1078,-0.01,0.94,0.93,4.47,5635,
Kepler-1066 b,,0.211,1.93155984,,Kepler-1066,399,-0.03,0.98,0.98,3.8,5762,
Kepler-1067 b,,0.071,0.76212926,,Kepler-1067,689,0.03,0.95,0.93,4.79,5592,
Kepler-1068 b,,0.324,16.92344113,,Kepler-1068,1532,0.03,1.01,1.01,4.17,5806,
Kepler-1069 b,,0.143,23.8990296,,Kepler-1069,435,0.04,0.99,0.98,4.37,5722,
Kepler-107 b,0.01104,0.137,3.1800218,1593,Kepler-107,525.5,0.321,1.24,1.45,4.29,5854,
Kepler-107 c,0.02954,0.142,4.901452,1379,Kepler-107,525.5,0.321,1.24,1.45,4.29,5854,
Kepler-107 d,0.01196,0.077,7.95839,1173,Kepler-107,525.5,0.321,1.24,1.45,4.29,5854,
